,user_id,movie_id,rating,timestamp,gender,age,occupation,zip,title,genres,for_testing
206910,1465,2617,3,974759568,M,50,16,93003,"Mummy, The (1999)",Action|Adventure|Horror|Thriller,False
231514,1019,1466,4,976057095,M,35,1,60640,Donnie Brasco (1997),Crime|Drama,False
208050,2172,3671,4,1014438415,M,18,20,60641,Blazing Saddles (1974),Comedy|Western,False
275780,2238,1788,5,974596785,F,25,4,32607,Men With Guns (1997),Action|Drama,False
944822,4250,3029,4,965308687,F,50,0,33313,Nighthawks (1981),Action|Drama,False
569341,3487,441,3,967075633,M,18,4,60611,Dazed and Confused (1993),Comedy,False
965513,621,3117,2,975797306,M,18,4,93560,Ride with the Devil (1999),Drama|Romance|War,False
109344,3976,2858,5,965650344,F,25,0,44107,American Beauty (1999),Comedy|Drama,False
932969,4118,2024,5,983347280,M,25,3,91221,"Rapture, The (1991)",Drama|Mystery,False
932979,4508,2024,4,964983759,M,25,20,15701,"Rapture, The (1991)",Drama|Mystery,False
52258,5,2028,2,978244053,M,25,20,55455,Saving Private Ryan (1998),Action|Drama|War,False
205089,5432,1304,4,960056462,M,56,13,01742,Butch Cassidy and the Sundance Kid (1969),Action|Comedy|Western,False
327288,3486,1688,5,967059551,F,18,0,98225,Anastasia (1997),Animation|Children's|Musical,False
174338,2997,318,4,970671687,F,35,16,45238,"Shawshank Redemption, The (1994)",Drama,False
363671,4401,1916,5,965159563,M,18,4,10027,Buffalo 66 (1998),Action|Comedy|Drama,False
418644,4169,1307,5,968798452,M,50,0,66048,When Harry Met Sally... (1989),Comedy|Romance,False
149206,3844,3809,5,965890092,M,18,4,73071,What About Bob? (1991),Comedy,False
940391,3453,2476,3,967239450,M,35,7,07981,Heartbreak Ridge (1986),Action|War,False
896285,2251,193,2,974605378,M,35,14,60626,Showgirls (1995),Drama,False
877961,929,1931,5,975191668,M,25,15,53706,Mutiny on the Bounty (1935),Adventure,False
644811,5675,1077,4,958742427,M,35,14,30030,Sleeper (1973),Comedy|Sci-Fi,False
777165,3579,350,3,966709379,M,18,0,32219,"Client, The (1994)",Drama|Mystery|Thriller,False
542575,721,3264,3,976461919,F,35,9,97520,Buffy the Vampire Slayer (1992),Comedy|Horror,False
486828,4243,3703,4,965310365,M,56,7,32137,Mad Max 2 (a.k.a. The Road Warrior) (1981),Action|Sci-Fi,False
99201,5046,2278,5,962501359,M,25,16,60614,Ronin (1998),Action|Crime|Thriller,False
688374,3280,2991,3,968349374,M,25,7,33486,Live and Let Die (1973),Action,False
779530,3320,1100,2,968522881,M,25,1,56082,Days of Thunder (1990),Action|Romance,False
361762,1693,58,4,974712527,M,25,12,98684,"Postino, Il (The Postman) (1994)",Drama|Romance,False
837035,1181,3467,3,975201568,M,35,7,20716,Hud (1963),Drama|Western,False
784997,5718,3308,4,958508508,F,35,14,38018,"Flamingo Kid, The (1984)",Comedy|Drama,False
104125,4618,589,5,964126713,M,25,14,97202,Terminator 2: Judgment Day (1991),Action|Sci-Fi|Thriller,False
880120,1422,1011,3,976120488,M,35,17,55934,Herbie Rides Again (1974),Adventure|Children's|Comedy,False
772812,1941,3040,2,989643360,M,35,17,94550,Meatballs (1979),Comedy,False
282332,3224,2599,4,968520931,F,25,14,93428,Election (1999),Comedy,False
524935,1899,3175,4,974777150,F,45,6,02135,Galaxy Quest (1999),Adventure|Comedy|Sci-Fi,False
694316,1323,2160,5,974778218,F,35,2,11218,Rosemary's Baby (1968),Horror|Thriller,False
839801,3562,2919,2,1023983818,F,25,6,32812,Year of Living Dangerously (1982),Drama|Romance,False
221373,1694,3527,5,974716782,M,25,12,98116,Predator (1987),Action|Sci-Fi|Thriller,False
800933,4858,1208,4,963746089,M,25,1,04086,Apocalypse Now (1979),Drama|War,False
585123,4511,1587,4,964978861,M,35,7,62234,Conan the Barbarian (1982),Action|Adventure,False
677265,615,466,4,975978845,M,50,17,32951,Hot Shots! Part Deux (1993),Action|Comedy|War,False
385343,5498,25,3,959805191,F,50,1,62901,Leaving Las Vegas (1995),Drama|Romance,False
823257,4315,3203,5,965256367,M,18,4,44266,Dead Calm (1989),Thriller,False
148352,3884,1597,1,965818174,M,18,4,78759,Conspiracy Theory (1997),Action|Mystery|Romance|Thriller,False
379663,5953,2600,4,957143342,M,1,10,21030,eXistenZ (1999),Action|Sci-Fi|Thriller,False
926244,5747,692,2,958355809,M,25,0,03755,Solo (1996),Action|Sci-Fi|Thriller,False
375438,225,111,3,976832932,M,25,7,11215,Taxi Driver (1976),Drama|Thriller,False
31608,1741,1721,5,974712244,M,35,7,91107,Titanic (1997),Drama|Romance,False
443739,5054,1271,3,965151401,M,35,2,20818,Fried Green Tomatoes (1991),Drama,False
924335,4303,2929,4,965267626,M,25,2,91910,Reds (1981),Drama,False
968476,4169,1581,3,979529791,M,50,0,66048,Out to Sea (1997),Comedy,False
661506,4086,2083,5,965517188,F,1,10,55391,"Muppet Christmas Carol, The (1992)",Children's|Musical,False
330097,1901,3508,4,974698472,M,50,7,94024,"Outlaw Josey Wales, The (1976)",Western,False
356033,5344,1393,4,960675541,F,50,1,98177,Jerry Maguire (1996),Drama|Romance,False
60948,2990,3068,5,970953813,M,35,12,45243,"Verdict, The (1982)",Drama,False
5549,4788,2355,4,962998665,M,35,7,85331,"Bug's Life, A (1998)",Animation|Children's|Comedy,False
648462,1974,2613,3,974685684,M,35,17,12159,Night of the Comet (1984),Action|Horror|Sci-Fi,False
943761,3626,3177,4,966603082,M,25,17,75075,Next Friday (1999),Comedy,False
854972,2016,2524,3,974676999,F,56,2,20783,"Towering Inferno, The (1974)",Action|Drama,False
496987,6021,1032,1,956757192,M,25,12,08876,Alice in Wonderland (1951),Animation|Children's|Musical,False
809783,4510,933,3,964990655,M,45,7,92503,To Catch a Thief (1955),Comedy|Romance|Thriller,False
283266,1584,1500,3,976774961,M,25,19,45701,Grosse Pointe Blank (1997),Comedy|Crime,False
691900,3389,2064,1,967512455,M,18,0,13603,Roger & Me (1989),Comedy|Documentary,False
519422,752,899,4,991948450,F,25,3,97401,Singin' in the Rain (1952),Musical|Romance,False
163143,4771,920,4,966801921,F,25,4,04101,Gone with the Wind (1939),Drama|Romance|War,False
993623,1980,2715,3,999665113,M,35,7,06460,"Velocity of Gary, The (1998)",Comedy|Romance,False
564110,5550,3101,5,959470371,M,35,15,48187,Fatal Attraction (1987),Thriller,False
332668,1246,1569,3,975071735,M,18,4,98225,My Best Friend's Wedding (1997),Comedy|Romance,False
444928,3539,2078,5,967019423,F,25,4,77006,"Jungle Book, The (1967)",Animation|Children's|Comedy|Musical,False
206467,3942,3168,3,965774886,M,18,4,49855,Easy Rider (1969),Adventure|Drama,False
884850,352,89,3,976333898,M,18,4,60115,Nick of Time (1995),Action|Thriller,False
949813,2888,1992,2,972063929,M,25,14,55438,Child's Play 2 (1990),Horror,False
588300,752,3033,4,976221770,F,25,3,97401,Spaceballs (1987),Comedy|Sci-Fi,False
976135,1746,2659,4,974845924,M,25,4,33157,It Came from Hollywood (1982),Comedy|Documentary,False
618881,3878,1092,5,965840978,M,35,16,22124,Basic Instinct (1992),Mystery|Thriller,False
879152,3029,3477,2,970365248,M,18,4,92037,Empire Records (1995),Comedy|Drama,False
66135,1396,2628,2,974765618,F,25,12,94530,Star Wars: Episode I - The Phantom Menace (1999),Action|Adventure|Fantasy|Sci-Fi,False
400939,509,529,4,976207975,M,25,2,55125,Searching for Bobby Fischer (1993),Drama,False
765912,1860,1833,2,974695393,M,56,16,94591,Mercury Rising (1998),Action|Drama|Thriller,False
477686,4478,1377,4,984001162,M,1,12,02138,Batman Returns (1992),Action|Adventure|Comedy|Crime,False
497509,5880,435,3,957550387,M,25,1,08904,Coneheads (1993),Comedy|Sci-Fi,False
710431,1509,1405,4,974833389,M,1,0,11803,Beavis and Butt-head Do America (1996),Animation|Comedy,False
691452,19,2064,3,978556835,M,1,10,48073,Roger & Me (1989),Comedy|Documentary,False
651230,1884,2117,3,974693562,M,45,20,93108,Nineteen Eighty-Four (1984),Drama|Sci-Fi,False
361506,3993,3155,3,966228638,M,25,0,22015,Anna and the King (1999),Drama|Romance,False
157087,935,380,4,976668501,M,35,14,60538,True Lies (1994),Action|Adventure|Comedy|Romance,False
610749,5347,2433,3,960666502,M,25,6,53705,"Civil Action, A (1998)",Drama,False
344453,5026,2469,2,962584295,M,25,17,92584,Peggy Sue Got Married (1986),Comedy|Romance,False
736489,4049,674,3,965497224,M,45,11,33133,Barbarella (1968),Adventure|Sci-Fi,False
517884,4169,3675,4,971580286,M,50,0,66048,White Christmas (1954),Musical,False
676066,4387,1562,3,965434060,F,18,4,63109,Batman & Robin (1997),Action|Adventure|Crime,False
667601,1717,1882,1,980175680,F,50,6,30307,Godzilla (1998),Action|Sci-Fi,False
927646,1221,3767,2,974838683,M,18,0,19134,Missing in Action 2: The Beginning (1985),Action|War,False
782370,366,2420,4,978544327,M,50,15,55126,"Karate Kid, The (1984)",Drama,False
59911,4130,1246,4,965351216,M,35,6,48439,Dead Poets Society (1989),Drama,False
82398,1119,3035,5,974915660,M,35,1,90504,Mister Roberts (1955),Comedy|Drama|War,False
710009,2777,2134,4,973042746,M,18,4,95326,Weird Science (1985),Comedy,False
597788,4329,2581,4,965243116,F,25,14,78232,Never Been Kissed (1999),Comedy|Romance,False
282027,2005,2599,4,974676998,M,18,4,58601,Election (1999),Comedy,False
788057,2077,3684,3,979975368,M,18,0,55112,"Fabulous Baker Boys, The (1989)",Drama|Romance,False
397222,2844,300,5,972530493,M,25,20,87103,Quiz Show (1994),Drama,False
344757,1117,2100,4,975955946,M,18,14,10017,Splash (1984),Comedy|Fantasy|Romance,False
606558,1717,3646,1,993455162,F,50,6,30307,Big Momma's House (2000),Comedy,False
247230,770,224,3,975443597,M,18,4,98499,Don Juan DeMarco (1995),Comedy|Drama|Romance,False
356533,2010,1682,3,974685827,M,18,4,81520,"Truman Show, The (1998)",Drama,False
644228,1015,1077,4,975017657,M,35,3,11220,Sleeper (1973),Comedy|Sci-Fi,False
668349,4786,1956,4,963005736,M,45,6,22630,Ordinary People (1980),Drama,False
533128,2223,541,4,974599461,M,25,2,60123,Blade Runner (1982),Film-Noir|Sci-Fi,False
147142,1354,1953,2,1004413046,F,25,2,94040,"French Connection, The (1971)",Action|Crime|Drama|Thriller,False
852410,4736,1620,3,963298635,M,18,20,91505,Kiss the Girls (1997),Crime|Drama|Thriller,False
975424,1449,3090,4,975518481,M,35,20,17112,Matewan (1987),Drama,False
609757,343,1487,4,1035162946,F,35,3,55127,Selena (1997),Drama|Musical,False
722795,3311,2413,4,967961016,M,25,4,90039,Clue (1985),Comedy|Mystery,False
239826,840,2700,5,986501545,F,25,3,02828,"South Park: Bigger, Longer and Uncut (1999)",Animation|Comedy,False
739748,2537,11,5,974051425,M,35,11,37620,"American President, The (1995)",Comedy|Drama|Romance,False
775974,2380,852,3,974330577,M,25,4,22903,Tin Cup (1996),Comedy|Romance,False
770545,3792,252,4,980451402,M,25,6,68108,I.Q. (1994),Comedy|Romance,False
777388,1448,424,4,976553805,F,25,3,17522,Blue Chips (1994),Drama,False
956181,5100,3073,5,962408349,M,50,6,193122042,"Sandpiper, The (1965)",Drama|Romance,False
507015,3261,62,3,968253088,M,45,20,87505,Mr. Holland's Opus (1995),Drama,False
945683,3842,3925,5,984997347,F,35,16,92054,Stranger Than Paradise (1984),Comedy,False
443346,1150,1271,1,974873825,F,25,20,75226,Fried Green Tomatoes (1991),Drama,False
708077,1941,3268,4,974949239,M,35,17,94550,Stop! Or My Mom Will Shoot (1992),Action|Comedy,False
524946,1939,3175,3,974690950,F,35,2,94930,Galaxy Quest (1999),Adventure|Comedy|Sci-Fi,False
244566,3512,1617,5,967478832,M,18,17,02140,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller,False
102217,406,589,4,976290749,M,25,20,55105,Terminator 2: Judgment Day (1991),Action|Sci-Fi|Thriller,False
98191,5034,110,4,962559111,F,25,15,62901,Braveheart (1995),Action|Drama|War,False
115532,4906,1084,4,962681267,M,50,17,49506,Bonnie and Clyde (1967),Crime|Drama,False
982768,4932,354,3,962650298,M,25,7,63303,Cobb (1994),Drama,False
519689,3020,899,4,1036709241,F,35,7,60302,Singin' in the Rain (1952),Musical|Romance,False
226812,2259,2987,5,974588416,F,56,16,70503,Who Framed Roger Rabbit? (1988),Adventure|Animation|Film-Noir,False
943830,303,3357,5,976503671,M,25,7,20006,East-West (Est-ouest) (1999),Drama|Romance,False
283825,4449,1500,4,965088409,M,25,12,27513,Grosse Pointe Blank (1997),Comedy|Crime,False
100214,1203,1834,5,974843700,F,25,1,06417,"Spanish Prisoner, The (1997)",Drama|Thriller,False
37299,4647,1836,4,963966137,M,35,20,80222,"Last Days of Disco, The (1998)",Drama,False
980971,3842,2483,5,977143698,F,35,16,92054,"Day of the Beast, The (El Día de la bestia) (1995)",Comedy|Horror|Thriller,False
640803,3626,3300,4,966615293,M,25,17,75075,Pitch Black (2000),Action|Sci-Fi,False
803526,3771,2944,3,966049372,M,25,1,14982,"Dirty Dozen, The (1967)",Action|War,False
136990,2581,593,5,973888340,M,25,11,60611,"Silence of the Lambs, The (1991)",Drama|Thriller,False
587115,4411,1263,5,970367976,M,18,4,92122,"Deer Hunter, The (1978)",Drama|War,False
259375,2030,2716,5,974671721,M,25,4,77345,Ghostbusters (1984),Comedy|Horror,False
492897,970,2405,3,975977856,M,25,0,27615,"Jewel of the Nile, The (1985)",Action|Adventure|Comedy|Romance,False
494191,4482,2407,5,965017668,F,35,1,94044,Cocoon (1985),Comedy|Sci-Fi,False
214359,1794,1214,3,974703365,M,25,11,20878,Alien (1979),Action|Horror|Sci-Fi|Thriller,False
731324,4053,3505,3,965495332,M,25,18,36264,No Way Out (1987),Thriller,False
702702,5074,2949,2,962434478,M,1,0,20132,Dr. No (1962),Action,False
989998,4277,3318,4,975846666,M,35,16,98133,Deterrence (1998),Thriller,False
775566,1778,1457,3,974705262,M,18,4,94704,Fools Rush In (1997),Comedy|Romance,False
752825,2638,2118,3,974177276,M,25,14,06405,"Dead Zone, The (1983)",Horror|Thriller,False
647509,3400,2533,3,967468040,M,25,14,08742,Escape from the Planet of the Apes (1971),Action|Sci-Fi,False
938605,3793,2169,4,966018888,M,18,4,21093,Dead Man on Campus (1998),Comedy,False
695407,4022,1373,3,965521413,M,35,14,53403,Star Trek V: The Final Frontier (1989),Action|Adventure|Sci-Fi,False
435035,3025,2135,3,970463354,F,35,0,90004,Doctor Dolittle (1967),Adventure|Musical,False
321427,5759,34,5,959817946,F,25,1,08904,Babe (1995),Children's|Comedy|Drama,False
190793,2262,2997,1,974584252,M,45,17,48116,Being John Malkovich (1999),Comedy,False
792627,1861,491,3,974705011,M,50,16,92129,"Man Without a Face, The (1993)",Drama,False
824208,1268,2921,5,974835837,M,50,2,10028,High Plains Drifter (1972),Western,False
779953,3499,432,2,967232276,M,25,3,77006,City Slickers II: The Legend of Curly's Gold (1994),Comedy|Western,False
664721,5575,1005,3,959293242,M,35,7,19808,D3: The Mighty Ducks (1996),Children's|Comedy,False
859985,5129,1590,2,962134811,M,45,17,40515,Event Horizon (1997),Action|Mystery|Sci-Fi|Thriller,False
348661,1806,861,5,974737567,M,18,4,22032,Supercop (1992),Action|Thriller,False
921005,2453,630,4,974190417,M,25,7,55429,Carried Away (1996),Drama|Romance,False
700525,402,2502,3,976296037,M,25,11,55427,Office Space (1999),Comedy|Romance,False
843667,3356,1172,5,967697222,M,35,7,95031,Cinema Paradiso (1988),Comedy|Drama|Romance,False
169444,4199,498,2,965322319,F,25,9,32712,Mr. Jones (1993),Drama|Romance,False
988680,4605,2848,4,964203539,M,25,15,92656,Othello (1952),Drama,False
911717,2085,1731,3,974656280,M,18,0,06360,Mr. Magoo (1997),Comedy,False
540374,1897,1080,3,1014235784,F,50,2,94530,Monty Python's Life of Brian (1979),Comedy,False
977023,331,2271,3,978884729,M,25,7,55902,Permanent Midnight (1998),Drama,False
910914,1680,3742,3,974711164,M,25,20,95380,"Battleship Potemkin, The (Bronenosets Potyomkin) (1925)",Drama|War,False
65630,6016,2268,3,956958815,M,45,1,37209,"Few Good Men, A (1992)",Crime|Drama,False
38767,2215,2762,4,974601612,F,25,0,93940,"Sixth Sense, The (1999)",Thriller,False
94195,4715,3255,4,963508004,M,25,2,97205,"League of Their Own, A (1992)",Comedy|Drama,False
720802,850,799,2,975357779,M,35,0,60640,"Frighteners, The (1996)",Comedy|Horror,False
224348,1019,1240,5,975008328,M,35,1,60640,"Terminator, The (1984)",Action|Sci-Fi|Thriller,False
177606,4510,1244,3,964988193,M,45,7,92503,Manhattan (1979),Comedy|Drama|Romance,False
162799,2926,920,5,971572020,F,18,2,55118,Gone with the Wind (1939),Drama|Romance|War,False
635558,1069,1601,1,974945368,M,25,20,98105,Hoodlum (1997),Crime|Drama|Film-Noir,False
688179,169,2991,5,977211078,M,25,7,55439,Live and Let Die (1973),Action,False
854364,5367,2748,2,960500727,M,18,4,55344,Allan Quartermain and the Lost City of Gold (1987),Action|Adventure,False
211574,3590,1136,5,966658183,F,18,15,02115,Monty Python and the Holy Grail (1974),Comedy,False
594756,1716,3005,4,976686180,M,25,0,43229,"Bone Collector, The (1999)",Thriller,False
587823,4310,2572,3,965351042,M,25,4,57006,10 Things I Hate About You (1999),Comedy|Romance,False
808770,2941,2747,3,971346463,M,35,12,98033,"Little Shop of Horrors, The (1960)",Comedy|Horror,False
162358,531,920,4,976141100,F,18,14,22206,Gone with the Wind (1939),Drama|Romance|War,False
182142,5846,1247,5,958845483,M,45,16,78204,"Graduate, The (1967)",Drama|Romance,False
978610,352,2479,2,976334418,M,18,4,60115,Gloria (1999),Drama|Thriller,False
687180,2334,3930,2,974428273,F,56,7,01562,"Creature From the Black Lagoon, The (1954)",Horror,False
703378,1983,2376,5,974685909,M,25,14,92109,"View to a Kill, A (1985)",Action,False
435034,3013,2135,4,1045690328,M,45,17,97124,Doctor Dolittle (1967),Adventure|Musical,False
860088,889,2034,2,975249224,M,45,20,10024,"Black Hole, The (1979)",Sci-Fi,False
221438,2012,3527,4,974676085,M,25,4,49456,Predator (1987),Action|Sci-Fi|Thriller,False
102747,1545,589,3,974744135,M,25,20,20009,Terminator 2: Judgment Day (1991),Action|Sci-Fi|Thriller,False
690773,3677,1407,5,966364025,F,25,12,06906,Scream (1996),Horror|Thriller,False
260490,5046,2716,3,962499081,M,25,16,60614,Ghostbusters (1984),Comedy|Horror,False
549840,802,2109,5,975403233,M,25,16,22801,"Jerk, The (1979)",Comedy,False
33641,1988,2294,4,974758250,F,25,1,85224,Antz (1998),Animation|Children's,False
261184,2777,1485,4,973051290,M,18,4,95326,Liar Liar (1997),Comedy,False
488774,2012,784,1,974680637,M,25,4,49456,"Cable Guy, The (1996)",Comedy,False
733520,5054,1267,4,962557480,M,35,2,20818,"Manchurian Candidate, The (1962)",Film-Noir|Thriller,False
451509,3272,317,5,971253270,M,35,0,08330,"Santa Clause, The (1994)",Children's|Comedy|Fantasy,False
996331,731,3632,4,975529291,M,45,3,55410,Monsieur Verdoux (1947),Comedy,False
451839,1173,248,3,975002104,F,25,7,10019,Houseguest (1994),Comedy,False
340116,187,17,4,977076997,F,45,1,94061,Sense and Sensibility (1995),Drama|Romance,False
660534,2809,3526,4,993251001,M,25,7,10016,Parenthood (1989),Comedy|Drama,False
666509,1383,2248,3,975899662,F,25,7,19806,Say Anything... (1989),Comedy|Drama|Romance,False
347115,5747,1380,4,958698280,M,25,0,03755,Grease (1978),Comedy|Musical|Romance,False
391406,5801,2699,4,958011653,M,25,16,04103,Arachnophobia (1990),Action|Comedy|Sci-Fi|Thriller,False
465592,5744,2094,3,959994291,F,25,4,66044,"Rocketeer, The (1991)",Action|Adventure|Sci-Fi,False
941119,1605,1542,4,975381410,F,18,0,28270,Brassed Off (1996),Comedy|Drama|Romance,False
889367,5205,2328,3,961639967,M,25,1,02908,Vampires (1998),Horror,False
714007,26,1425,2,978144977,M,25,7,23112,Fierce Creatures (1997),Comedy,False
267895,1941,2291,1,975391951,M,35,17,94550,Edward Scissorhands (1990),Drama|Romance,False
963072,1333,1194,2,974779076,M,25,17,06460,Up in Smoke (1978),Comedy,False
833942,2059,2471,4,974754293,M,35,0,44130,Crocodile Dundee II (1988),Adventure|Comedy,False
940262,752,2476,1,997217275,F,25,3,97401,Heartbreak Ridge (1986),Action|War,False
595312,1125,2719,3,974924389,F,18,4,53715,"Haunting, The (1999)",Horror|Thriller,False
238770,1413,47,4,998094782,M,18,3,98122,Seven (Se7en) (1995),Crime|Thriller,False
324472,3026,2406,4,970462673,F,18,4,45750,Romancing the Stone (1984),Action|Adventure|Comedy|Romance,False
315630,337,3499,4,976350162,M,18,19,80205,Misery (1990),Horror,False
161808,5758,457,5,958255224,F,50,1,29642,"Fugitive, The (1993)",Action|Thriller,False
634846,343,3638,4,988596743,F,35,3,55127,Moonraker (1979),Action|Romance|Sci-Fi,False
138728,1943,2359,4,975734638,M,18,4,91501,Waking Ned Devine (1998),Comedy,False
364107,1142,230,4,974874764,M,18,1,43623,Dolores Claiborne (1994),Drama|Thriller,False
576464,1781,3785,1,974700770,F,35,0,08009,Scary Movie (2000),Comedy|Horror,False
671623,4480,2402,1,965109249,M,25,0,94403,Rambo: First Blood Part II (1985),Action|War,False
578155,3836,2641,3,965928054,F,50,8,84770,Superman II (1980),Action|Adventure|Sci-Fi,False
339237,4169,2966,3,965334229,M,50,0,66048,"Straight Story, The (1999)",Drama,False
969648,2231,2988,3,974598416,M,50,11,85726,Melvin and Howard (1980),Drama,False
591537,2974,2976,1,971030679,M,18,4,48105,Bringing Out the Dead (1999),Drama|Horror,False
131704,2125,1552,3,974943872,M,35,3,46033,Con Air (1997),Action|Adventure|Thriller,False
471401,5054,1371,3,1009573613,M,35,2,20818,Star Trek: The Motion Picture (1979),Action|Adventure|Sci-Fi,False
439409,5485,2640,3,959833009,M,25,4,08544,Superman (1978),Action|Adventure|Sci-Fi,False
860594,2304,2986,3,974497019,M,45,12,94103,Robocop 2 (1990),Action|Crime|Sci-Fi,False
747662,1837,45,4,974839021,M,25,2,08817,To Die For (1995),Comedy|Drama,False
733563,5350,1267,5,960661921,M,18,5,55344,"Manchurian Candidate, The (1962)",Film-Noir|Thriller,False
670483,2611,1960,2,973802281,M,25,3,07719,"Last Emperor, The (1987)",Drama|War,False
680568,2042,86,2,974667049,M,1,10,79358,White Squall (1996),Adventure|Drama,False
697117,1483,3208,1,974759823,M,18,4,54481,Loaded Weapon 1 (1993),Action|Comedy,False
564460,3336,2598,2,967855988,M,35,17,93436,Pushing Tin (1999),Comedy,False
764227,4585,2053,4,964321865,M,35,7,30324,"Honey, I Blew Up the Kid (1992)",Children's|Comedy|Sci-Fi,False
270157,3641,2723,3,966482723,M,25,0,92008,Mystery Men (1999),Action|Adventure|Comedy,False
263239,911,1127,4,975211557,M,50,0,98226,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller,False
498068,1224,1042,4,974909180,M,50,13,02125,That Thing You Do! (1996),Comedy,False
26510,1694,527,3,974717250,M,25,12,98116,Schindler's List (1993),Drama|War,False
282405,3475,2599,4,997039667,M,25,14,33133,Election (1999),Comedy,False
382025,3065,3481,5,981568962,F,18,4,48135,High Fidelity (2000),Comedy,False
815721,975,3504,4,975121037,M,35,0,98136,Network (1976),Comedy|Drama,False
503239,4829,2863,4,982115668,M,25,0,20008,"Hard Day's Night, A (1964)",Comedy|Musical,False
816933,1147,1699,5,974872750,M,25,20,98101,"Butcher Boy, The (1998)",Drama,False
742516,412,3556,4,978731146,M,35,15,55117,"Virgin Suicides, The (1999)",Comedy|Drama,False
734581,5983,1199,4,956926240,M,25,3,29208,Brazil (1985),Sci-Fi,False
212017,5257,1136,4,961261598,F,25,2,10019,Monty Python and the Holy Grail (1974),Comedy,False
635699,5415,3713,4,960868264,F,25,7,03862,"Long Walk Home, The (1990)",Drama,False
195836,904,1580,3,975209657,M,35,20,92308,Men in Black (1997),Action|Adventure|Comedy|Sci-Fi,False
358328,881,3500,1,975263253,M,18,14,76401,Mr. Saturday Night (1992),Comedy|Drama,False
442939,202,2072,3,976940857,M,18,4,53706,"'burbs, The (1989)",Comedy,False
955500,4286,3795,1,965279068,M,35,17,11554,"Five Senses, The (1999)",Drama,False
180607,1594,3893,4,974733556,F,35,20,10013,Nurse Betty (2000),Comedy|Thriller,False
748547,2679,521,1,973403068,F,18,4,02143,Romeo Is Bleeding (1993),Crime|Thriller,False
128899,1109,1196,5,974920538,M,18,10,45904,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War,False
921514,1841,3007,4,974700208,M,18,0,95037,American Movie (1999),Documentary,False
192374,5387,1615,4,960330115,F,25,1,45056,"Edge, The (1997)",Adventure|Thriller,False
414041,1284,3623,3,974791131,M,45,16,33334,Mission: Impossible 2 (2000),Action|Thriller,False
378161,4928,2023,4,962663991,F,25,3,92103,"Godfather: Part III, The (1990)",Action|Crime|Drama,False
217298,5434,1036,2,960044549,F,25,7,60618,Die Hard (1988),Action|Thriller,False
491226,5982,858,3,956930150,M,35,1,56082,"Godfather, The (1972)",Action|Crime|Drama,False
357650,5005,508,5,962597981,M,45,16,92807,Philadelphia (1993),Drama,False
22493,4048,2321,4,965501429,F,35,1,89431,Pleasantville (1998),Comedy,False
69374,3403,2916,4,967429703,M,35,5,48342,Total Recall (1990),Action|Adventure|Sci-Fi|Thriller,False
557050,1851,2710,3,974696150,M,25,19,59602,"Blair Witch Project, The (1999)",Horror,False
308483,2456,1885,4,974178758,M,25,5,48103,"Opposite of Sex, The (1998)",Comedy|Drama,False
477529,3724,1377,4,966222637,M,35,6,77083,Batman Returns (1992),Action|Adventure|Comedy|Crime,False
228657,2916,1175,5,971733703,M,45,2,98011,Delicatessen (1991),Comedy|Sci-Fi,False
816844,3898,154,3,965776696,M,45,11,01772,Belle de jour (1967),Drama,False
377403,4235,1589,3,965312062,M,50,2,90029,Cop Land (1997),Crime|Drama|Mystery,False
975709,4790,1572,3,962995780,F,25,2,94133,Contempt (Le Mépris) (1963),Drama,False
932806,5978,2971,1,956959184,M,35,1,49307,All That Jazz (1979),Musical,False
895613,4277,259,4,965646485,M,35,16,98133,Kiss of Death (1995),Crime|Drama|Thriller,False
442402,1632,2140,4,974716989,M,25,16,94120,"Dark Crystal, The (1982)",Children's|Fantasy|Sci-Fi,False
905176,5018,1228,5,962585231,F,56,12,90290,Raging Bull (1980),Drama,False
151388,2233,235,3,974599334,F,35,3,60187,Ed Wood (1994),Comedy|Drama,False
526873,4849,2378,4,963421484,F,18,4,44515,Police Academy (1984),Comedy,False
14121,1744,2398,4,974705004,M,35,12,50325,Miracle on 34th Street (1947),Drama,False
66293,1851,2628,3,991449155,M,25,19,59602,Star Wars: Episode I - The Phantom Menace (1999),Action|Adventure|Fantasy|Sci-Fi,False
937286,3265,373,2,968364274,M,25,15,53704,Red Rock West (1992),Thriller,False
822652,1088,3498,5,1009588987,F,1,10,98103,Midnight Express (1978),Drama,False
483725,5355,923,3,960693709,M,56,0,78232,Citizen Kane (1941),Drama,False
888027,3266,1280,4,968213182,F,25,4,95616,Raise the Red Lantern (1991),Drama,False
861007,5111,3011,4,962333507,M,35,2,78006,"They Shoot Horses, Don't They? (1969)",Drama,False
791559,1883,2463,3,974875278,F,50,0,94521,Ruthless People (1986),Comedy,False
305797,1983,2683,4,974683984,M,25,14,92109,Austin Powers: The Spy Who Shagged Me (1999),Comedy,False
560945,3292,246,4,968100980,F,50,6,79410,Hoop Dreams (1994),Documentary,False
252183,531,52,3,978644696,F,18,14,22206,Mighty Aphrodite (1995),Comedy,False
788796,319,540,1,976424511,F,50,6,33436,Sliver (1993),Thriller,False
